epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2175.55,0.70149,0.32934,1.01105,0.99409,0.99649,0.99489,0.8557,0.67221,0.25362,1.01603,0.000911,0.000911,0.000911
57,2213.46,0.69306,0.32041,1.00695,0.99404,0.99649,0.99495,0.84648,0.67106,0.25348,1.01839,0.0008912,0.0008912,0.0008912
58,2251.91,0.68429,0.32422,1.00863,0.99302,0.99969,0.99483,0.85226,0.66687,0.24853,1.01689,0.0008714,0.0008714,0.0008714
59,2289.95,0.68426,0.3193,1.00405,0.99417,0.99756,0.99491,0.85083,0.67161,0.25566,1.02008,0.0008516,0.0008516,0.0008516
60,2328.1,0.68056,0.31903,1.0071,0.99167,1,0.99476,0.8562,0.66365,0.25436,1.01338,0.0008318,0.0008318,0.0008318
61,2366.23,0.68573,0.31952,1.00848,0.99397,0.99766,0.99484,0.85222,0.6654,0.25194,1.01123,0.000812,0.000812,0.000812
62,2404.37,0.67882,0.31414,1.00371,0.99283,0.99766,0.99481,0.85768,0.67534,0.25149,1.02033,0.0007922,0.0007922,0.0007922
63,2442.48,0.67412,0.31075,1.00246,0.99301,0.99863,0.99487,0.85675,0.66291,0.24358,1.01094,0.0007724,0.0007724,0.0007724
64,2480.52,0.67625,0.3141,1.00262,0.99416,0.99753,0.99483,0.85859,0.66884,0.24542,1.0166,0.0007526,0.0007526,0.0007526
65,2518.75,0.67607,0.31037,1.0004,0.99281,0.99766,0.99488,0.85678,0.66761,0.24789,1.0124,0.0007328,0.0007328,0.0007328
66,2556.99,0.67375,0.31064,1.00814,0.99418,0.99944,0.99491,0.85671,0.66394,0.25268,1.01532,0.000713,0.000713,0.000713
67,2595.08,0.65588,0.31026,0.99124,0.99394,0.99766,0.99486,0.85337,0.6595,0.24606,1.00957,0.0006932,0.0006932,0.0006932
68,2633.21,0.66092,0.30583,1.00195,0.99287,0.99766,0.99488,0.85489,0.6675,0.24357,1.01409,0.0006734,0.0006734,0.0006734
69,2671.31,0.65909,0.30351,0.9941,0.99289,0.99883,0.99483,0.85907,0.66137,0.23981,1.01139,0.0006536,0.0006536,0.0006536
70,2709.49,0.66414,0.30089,0.99739,0.99417,0.99877,0.99481,0.85274,0.66354,0.24231,1.01492,0.0006338,0.0006338,0.0006338
71,2747.54,0.66134,0.30433,0.99647,0.99516,0.99649,0.9948,0.85651,0.65654,0.24017,1.01105,0.000614,0.000614,0.000614
72,2785.73,0.66366,0.30696,0.99723,0.99393,0.99766,0.99481,0.85764,0.65931,0.23621,1.01081,0.0005942,0.0005942,0.0005942
73,2823.84,0.643,0.2978,0.98651,0.99399,0.99766,0.99483,0.86198,0.64993,0.23451,1.00663,0.0005744,0.0005744,0.0005744
74,2861.95,0.65674,0.30331,0.996,0.9929,0.99883,0.99495,0.85711,0.66233,0.23664,1.01496,0.0005546,0.0005546,0.0005546
75,2900.15,0.64798,0.29644,0.99035,0.99417,0.99874,0.99499,0.85751,0.6648,0.23879,1.01752,0.0005348,0.0005348,0.0005348
76,2938.29,0.64552,0.2974,0.9849,0.99416,0.99748,0.99488,0.86091,0.65808,0.23779,1.01097,0.000515,0.000515,0.000515
77,2976.36,0.63896,0.29374,0.98856,0.99416,0.99753,0.99491,0.86383,0.64863,0.23881,1.00506,0.0004952,0.0004952,0.0004952
78,3014.52,0.63802,0.29212,0.98618,0.99405,0.99766,0.99489,0.86189,0.65696,0.23417,1.00749,0.0004754,0.0004754,0.0004754
79,3052.64,0.63955,0.29255,0.9831,0.99413,0.99766,0.99483,0.86621,0.65071,0.23472,1.00171,0.0004556,0.0004556,0.0004556
80,3090.61,0.63165,0.28742,0.98813,0.99411,0.99766,0.99477,0.86478,0.65738,0.23479,1.00715,0.0004358,0.0004358,0.0004358
81,3128.92,0.63173,0.28871,0.98346,0.99417,0.99757,0.99495,0.86536,0.65194,0.23014,1.00401,0.000416,0.000416,0.000416
82,3167.04,0.63029,0.2856,0.98203,0.99399,0.99883,0.99493,0.86854,0.64871,0.22936,1.00252,0.0003962,0.0003962,0.0003962
83,3205.1,0.62765,0.28545,0.98437,0.99417,0.99763,0.99481,0.86604,0.65002,0.2328,1.00244,0.0003764,0.0003764,0.0003764
84,3243.15,0.62599,0.28379,0.98232,0.99302,0.99887,0.99479,0.86613,0.6417,0.2289,0.99843,0.0003566,0.0003566,0.0003566
85,3281.34,0.61819,0.28039,0.97532,0.99287,0.99649,0.99483,0.86768,0.64901,0.22884,1.00231,0.0003368,0.0003368,0.0003368
86,3319.41,0.61715,0.28115,0.98229,0.99411,0.99766,0.99482,0.86912,0.65051,0.22968,1.0037,0.000317,0.000317,0.000317
87,3357.47,0.61667,0.27831,0.97596,0.99271,1,0.99489,0.87276,0.63618,0.22537,0.99499,0.0002972,0.0002972,0.0002972
88,3395.67,0.61611,0.27972,0.97735,0.99302,0.99938,0.99492,0.8719,0.64005,0.2253,0.99666,0.0002774,0.0002774,0.0002774
89,3433.86,0.62194,0.28361,0.97716,0.99298,0.99883,0.99477,0.87071,0.64432,0.22688,0.99936,0.0002576,0.0002576,0.0002576
90,3471.88,0.6136,0.27614,0.97762,0.9948,0.99649,0.99494,0.87116,0.64367,0.22555,0.99869,0.0002378,0.0002378,0.0002378
91,3538.3,0.54838,0.21565,0.95349,0.99185,0.99758,0.99489,0.86293,0.64607,0.22952,0.99782,0.000218,0.000218,0.000218
92,3576.09,0.53824,0.21168,0.94568,0.99276,0.99883,0.99494,0.86869,0.64176,0.22824,1.00113,0.0001982,0.0001982,0.0001982
93,3613.69,0.53662,0.2098,0.94166,0.99301,0.99883,0.99492,0.86882,0.64495,0.22858,1.00339,0.0001784,0.0001784,0.0001784
94,3651.5,0.53207,0.20725,0.94652,0.99389,0.99883,0.99478,0.87438,0.63899,0.22497,0.99801,0.0001586,0.0001586,0.0001586
95,3689.42,0.52962,0.20602,0.94489,0.99417,0.99856,0.9947,0.87602,0.64372,0.22551,1.00097,0.0001388,0.0001388,0.0001388
96,3727.11,0.52763,0.20491,0.94161,0.99369,0.99883,0.99464,0.87472,0.64271,0.22557,0.99713,0.000119,0.000119,0.000119
97,3770.85,0.52677,0.20429,0.94481,0.99301,0.99851,0.9947,0.87552,0.63827,0.22466,0.99449,9.92e-05,9.92e-05,9.92e-05
98,3816.67,0.52238,0.20158,0.93919,0.99301,0.99755,0.99475,0.8763,0.63889,0.22368,0.99702,7.94e-05,7.94e-05,7.94e-05
99,3872.73,0.51468,0.1994,0.94006,0.99267,0.99883,0.99476,0.87724,0.63709,0.22407,0.99518,5.96e-05,5.96e-05,5.96e-05
100,3966.69,0.5131,0.19735,0.94037,0.99301,0.99874,0.99475,0.87613,0.63538,0.22173,0.99459,3.98e-05,3.98e-05,3.98e-05
